-0.10000E+01  0.10000E+01
-0.96000E+00  0.10000E+01
-0.92000E+00  0.10000E+01
-0.88000E+00  0.10000E+01
-0.84000E+00  0.10000E+01
-0.80000E+00  0.10000E+01
-0.76000E+00  0.10000E+01
-0.72000E+00  0.10000E+01
-0.68000E+00  0.99999E+00
-0.64000E+00  0.99998E+00
-0.60000E+00  0.99994E+00
-0.56000E+00  0.99982E+00
-0.52000E+00  0.99951E+00
-0.48000E+00  0.99870E+00
-0.44000E+00  0.99678E+00
-0.40000E+00  0.99248E+00
-0.36000E+00  0.98352E+00
-0.32000E+00  0.96611E+00
-0.28000E+00  0.93464E+00
-0.24000E+00  0.88184E+00
-0.20000E+00  0.79971E+00
-0.16000E+00  0.68151E+00
-0.12000E+00  0.52437E+00
-0.80000E-01  0.33159E+00
-0.40000E-01  0.11358E+00
 0.00000E+00 -0.11358E+00
 0.40000E-01 -0.33159E+00
 0.80000E-01 -0.52437E+00
 0.12000E+00 -0.68151E+00
 0.16000E+00 -0.79971E+00
 0.20000E+00 -0.88184E+00
 0.24000E+00 -0.93464E+00
 0.28000E+00 -0.96611E+00
 0.32000E+00 -0.98352E+00
 0.36000E+00 -0.99248E+00
 0.40000E+00 -0.99678E+00
 0.44000E+00 -0.99870E+00
 0.48000E+00 -0.99951E+00
 0.52000E+00 -0.99982E+00
 0.56000E+00 -0.99994E+00
 0.60000E+00 -0.99998E+00
 0.64000E+00 -0.99999E+00
 0.68000E+00 -0.10000E+01
 0.72000E+00 -0.10000E+01
 0.76000E+00 -0.10000E+01
 0.80000E+00 -0.10000E+01
 0.84000E+00 -0.10000E+01
 0.88000E+00 -0.10000E+01
 0.92000E+00 -0.10000E+01
 0.96000E+00 -0.10000E+01
 0.10000E+01 -0.10000E+01
